feature_name,block,source_variable,transform,lookback_days,known_by_target_date_start,retained_main,retained_sensitivity,notes,full_panel_nonmissing_rows,full_panel_missing_rows,full_panel_unique_nonmissing,included_main_nonmissing_rows
lag14_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,lag 14 day(s),14,Yes,1,1,Primary autoregressive signal.,713,18,346,537
lag1_secondary_trip_capacity_utilization_rate,Autoregressive utilization,secondary_trip_capacity_utilization_rate,lag 1 day(s),1,Yes,1,1,Secondary utilization proxy.,725,6,50,537
lag1_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,lag 1 day(s),1,Yes,1,1,Primary autoregressive signal.,723,8,350,537
lag28_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,lag 28 day(s),28,Yes,1,1,Primary autoregressive signal.,699,32,340,537
lag7_secondary_trip_capacity_utilization_rate,Autoregressive utilization,secondary_trip_capacity_utilization_rate,lag 7 day(s),7,Yes,1,1,Secondary utilization proxy.,720,11,49,537
lag7_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,lag 7 day(s),7,Yes,1,1,Primary autoregressive signal.,720,11,349,537
roll14_mean_secondary_trip_capacity_utilization_rate,Autoregressive utilization,secondary_trip_capacity_utilization_rate,mean of previous 14 days excluding target date,14,Yes,1,1,Secondary proxy rolling history.,707,24,323,537
roll14_mean_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,mean of previous 14 days excluding target date,14,Yes,1,1,Rolling target history.,707,24,702,537
roll14_std_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,std of previous 14 days excluding target date,14,Yes,1,1,Rolling target history.,707,24,702,537
roll28_mean_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,mean of previous 28 days excluding target date,28,Yes,1,1,Rolling target history.,693,38,691,537
roll28_std_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,std of previous 28 days excluding target date,28,Yes,1,1,Rolling target history.,693,38,689,537
roll3_mean_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,mean of previous 3 days excluding target date,3,Yes,1,1,Rolling target history.,719,12,716,537
roll3_std_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,std of previous 3 days excluding target date,3,Yes,1,1,Rolling target history.,719,12,717,537
roll7_mean_secondary_trip_capacity_utilization_rate,Autoregressive utilization,secondary_trip_capacity_utilization_rate,mean of previous 7 days excluding target date,7,Yes,1,1,Secondary proxy rolling history.,714,17,217,537
roll7_mean_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,mean of previous 7 days excluding target date,7,Yes,1,1,Rolling target history.,714,17,712,537
roll7_std_target_utilization_intensity,Autoregressive utilization,target_utilization_intensity,std of previous 7 days excluding target date,7,Yes,1,1,Rolling target history.,714,17,711,537
lag14_secondary_trip_capacity_utilization_rate,Autoregressive utilization,secondary_trip_capacity_utilization_rate,lag 14 day(s),14,Yes,0,1,Secondary utilization proxy.,713,18,49,537
target_day_of_week_num,Calendar and seasonality,target_date,day-of-week numeric encoding,target-date calendar,Yes,1,1,Known in advance without operational leakage.,731,0,7,537
target_dow_cos,Calendar and seasonality,target_date,cyclical day-of-week cosine,target-date calendar,Yes,1,1,Known in advance without operational leakage.,731,0,7,537
target_dow_sin,Calendar and seasonality,target_date,cyclical day-of-week sine,target-date calendar,Yes,1,1,Known in advance without operational leakage.,731,0,7,537
target_is_month_end,Calendar and seasonality,target_date,month-end indicator,target-date calendar,Yes,1,1,Known in advance without operational leakage.,731,0,2,537
target_is_month_start,Calendar and seasonality,target_date,month-start indicator,target-date calendar,Yes,1,1,Known in advance without operational leakage.,731,0,2,537
target_is_weekend,Calendar and seasonality,target_date,weekend indicator,target-date calendar,Yes,1,1,Known in advance without operational leakage.,731,0,2,537
target_month,Calendar and seasonality,target_date,month number,target-date calendar,Yes,1,1,Known in advance without operational leakage.,731,0,12,537
target_month_cos,Calendar and seasonality,target_date,cyclical month cosine,target-date calendar,Yes,1,1,Known in advance without operational leakage.,731,0,11,537
target_month_sin,Calendar and seasonality,target_date,cyclical month sine,target-date calendar,Yes,1,1,Known in advance without operational leakage.,731,0,11,537
