target,target_column,model,fold,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
Realized served-truck utilization,y_utilization_nextday,Random forest (S2),1,0.18383227160973714,0.2231791378628553,19.282382020017863,0.1897823592379133,0.03405118355512083,0.16687756459577668
Realized served-truck utilization,y_utilization_nextday,Random forest (S2),2,0.2235373840872618,0.2767336203766439,20.886215413619677,0.12605260396968565,-0.029553925386138137,0.1715829835387136
Realized served-truck utilization,y_utilization_nextday,Random forest (S2),3,0.19857937188484256,0.24340280765210404,20.291335274199103,0.1764476417246571,0.036702391337181756,0.16883833073071564
Realized served-truck utilization,y_utilization_nextday,Random forest (S2),4,0.19602751414406108,0.2412720852392745,21.810473988298515,-0.013654295610371792,0.09827584883719487,0.1673275209469755
Realized served-truck utilization,y_utilization_nextday,Random forest (S2),5,0.1957469939562933,0.23747407258276002,19.395223722205333,0.2624275615409595,0.021636579041274247,0.1904123128047831
Realized served-truck utilization,y_utilization_nextday,XGBoost (S2),1,0.1779674685583795,0.21537713790866228,18.08441615233217,0.2454401260919623,0.030501146469545968,0.15550449073955586
Realized served-truck utilization,y_utilization_nextday,XGBoost (S2),2,0.24014725331475964,0.30055280099462606,21.74015922878457,-0.03086786706965805,-0.056796986344361346,0.20555553445242403
Realized served-truck utilization,y_utilization_nextday,XGBoost (S2),3,0.20294110703955323,0.2617515424143009,20.95494749822357,0.047601841195341055,0.06445285837816127,0.16706329451666935
Realized served-truck utilization,y_utilization_nextday,XGBoost (S2),4,0.23648094211142628,0.28990754829100296,26.125334627517155,-0.46350683855191543,0.11608890109999231,0.22301690982260036
Realized served-truck utilization,y_utilization_nextday,XGBoost (S2),5,0.19836230566919155,0.24346594810195216,20.10661183661579,0.2247375752762132,0.05939835059429987,0.17111467112574658
Realized served-truck utilization,y_utilization_nextday,LightGBM (S2),1,0.19680173290812322,0.23525705067284391,20.622910982612943,0.0997154443465944,0.034166375953983544,0.16766477094615617
Realized served-truck utilization,y_utilization_nextday,LightGBM (S2),2,0.22859460178950586,0.2813146777985672,20.7863338942611,0.09687840324337327,-0.034400259210775656,0.19299204061726455
