model_family,specification,fold,n_features,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
OLS,S1,1,13,0.8775475381867873,0.9764890838735063,77.26242665326303,-14.510624677664103,-0.8478286232552747,1.0
OLS,S1,2,13,0.8551777471909031,0.9373885639332544,76.22186389403018,-9.027686427622488,-0.8551777471909031,0.830570758946868
OLS,S1,3,13,0.2328590472668326,0.292419221471623,19.980368138796464,-0.18864421536228293,-0.1812247733864364,0.17130762323012616
OLS,S1,4,13,0.25175473733808895,0.3298562624004669,22.678473838377958,-0.8946333476844597,-0.2030446949810475,0.21483223233077436
OLS,S1,5,13,0.2009879970666715,0.2426017130689814,19.401136157148326,0.23023172985168094,-0.005537628494400088,0.19602970146731818
OLS,S2,1,29,1.689893524831681,2.1018988051813983,162.6607330016204,-70.86511258104706,1.6710534635345866,1.2765040494164168
OLS,S2,2,29,1.014780541178235,1.074063054438492,90.18606701768697,-12.16500411267732,-1.0127321385635157,1.0176112094414802
OLS,S2,3,29,0.4994213398132551,0.5484821138034193,44.79736490441547,-3.1818166497586153,-0.4931317115665781,0.48174042763756286
OLS,S2,4,29,0.37187034332322955,0.49795232684187696,33.92556280584004,-3.3176878539472376,-0.34392216916537,0.2787144733635235
OLS,S2,5,29,0.21540911240703006,0.26227528055700117,20.45805474073307,0.10032220939072944,-0.03886738213306245,0.1940788518060354
OLS,S3,1,79,0.31814444840796424,0.4039533461735515,28.52720633737571,-1.6543422725295467,-0.08893514906579851,0.2682897504485007
OLS,S3,2,79,2.3133460527644156,2.795965255298092,225.08268479883938,-88.2123508322044,2.3133460527644156,1.8609489543096638
OLS,S3,3,79,0.37544268081529614,0.4743075001081939,32.39529308424608,-2.1272315022430286,-0.2837145523349689,0.2857146519841592
OLS,S3,4,79,0.5354942414084826,0.6718648761638395,49.74854448761063,-6.860308381019013,-0.48589455675768284,0.41639089469760987
OLS,S3,5,79,0.2396595813725014,0.3005440286501671,21.79784236135881,-0.1813769318513596,-0.11440067889918057,0.19969691480276192
OLS,S4,1,105,0.284430943133939,0.3805152331711748,28.244540055215072,-1.3552586028306766,0.14577703899997008,0.2008071665728337
OLS,S4,2,105,0.638687652558282,0.8398538310107655,58.5705113207278,-7.0494991397456594,0.26523060101638557,0.47695453212482763
OLS,S4,3,105,0.4597021723944356,0.53508126844052,42.710157086826754,-2.9799676674976014,-0.09973193812635527,0.4921889291480696
OLS,S4,4,105,0.5381164944305897,0.6320696603273921,56.81950155399036,-5.95673721709918,0.2445185706091482,0.49495925979805994
OLS,S4,5,105,0.30401842257255846,0.35962432283139234,30.672357289526396,-0.6914937341757295,0.09399136970540586,0.28115416751743305
