model,fold,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
Random forest (S2),1,0.18383227160973714,0.2231791378628553,19.282382020017863,0.1897823592379133,0.03405118355512083,0.16687756459577668
Random forest (S2),2,0.2235373840872618,0.2767336203766439,20.886215413619677,0.12605260396968565,-0.029553925386138137,0.1715829835387136
Random forest (S2),3,0.19857937188484256,0.24340280765210404,20.291335274199103,0.1764476417246571,0.036702391337181756,0.16883833073071564
Random forest (S2),4,0.19602751414406108,0.2412720852392745,21.810473988298515,-0.013654295610371792,0.09827584883719487,0.1673275209469755
Random forest (S2),5,0.1957469939562933,0.23747407258276002,19.395223722205333,0.2624275615409595,0.021636579041274247,0.1904123128047831
XGBoost (S2),1,0.1779674685583795,0.21537713790866228,18.08441615233217,0.2454401260919623,0.030501146469545968,0.15550449073955586
XGBoost (S2),2,0.24014725331475964,0.30055280099462606,21.74015922878457,-0.03086786706965805,-0.056796986344361346,0.20555553445242403
XGBoost (S2),3,0.20294110703955323,0.2617515424143009,20.95494749822357,0.047601841195341055,0.06445285837816127,0.16706329451666935
XGBoost (S2),4,0.23648094211142628,0.28990754829100296,26.125334627517155,-0.46350683855191543,0.11608890109999231,0.22301690982260036
XGBoost (S2),5,0.19836230566919155,0.24346594810195216,20.10661183661579,0.2247375752762132,0.05939835059429987,0.17111467112574658
LightGBM (S2),1,0.19680173290812322,0.23525705067284391,20.622910982612943,0.0997154443465944,0.034166375953983544,0.16766477094615617
LightGBM (S2),2,0.22859460178950586,0.2813146777985672,20.7863338942611,0.09687840324337327,-0.034400259210775656,0.19299204061726455
LightGBM (S2),3,0.18948107505252273,0.2492682422315478,18.84683177371029,0.1362780621283839,0.009026365350009518,0.1419120590970614
LightGBM (S2),4,0.2216195690668706,0.27509574312634133,24.497968522387676,-0.31778163244693713,0.1090157667779643,0.21806774766922
LightGBM (S2),5,0.19812969885807055,0.23836776840592333,19.943353827320866,0.2568656428664289,0.05221300962936899,0.18451016272295911
14-day moving average,1,0.21771166871382566,0.2645713469444903,22.664600597421646,-0.13862344064916932,0.02668949706288283,0.17507635807696198
14-day moving average,2,0.2506056848605675,0.30392137219609705,24.646995357217357,-0.054105127452859225,0.0070699871133055115,0.21363983821967014
14-day moving average,3,0.21988285733368168,0.2751267188866977,22.12381977975361,-0.05221765837820791,-0.0015774155821143907,0.1774038348678324
14-day moving average,4,0.18834906239740404,0.24138838898212053,19.961852287050412,-0.014631782939042548,-0.012254596228776182,0.15783444354872933
14-day moving average,5,0.23015209685475552,0.28271979735110364,23.11733474785242,-0.04540535605960638,0.013767328658042229,0.2029817421061465
LSTM 28-step (S2),1,0.20664943097729713,0.24756247451573626,21.674437796034542,0.0030712199154537823,0.03780485444848815,0.17414389590959278
LSTM 28-step (S2),2,0.23613482603892866,0.283702008317327,23.420872954331298,0.0814849780089485,0.01732672811349735,0.214683060324517
LSTM 28-step (S2),3,0.21845954499776069,0.2658351810096325,22.583502467043456,0.01765291841855743,0.02971706089705791,0.1891033607616759
LSTM 28-step (S2),4,0.19896144376319033,0.25119458694838753,22.538392880072635,-0.09874335777420429,0.07239796632273249,0.15167693222835382
LSTM 28-step (S2),5,0.21677729373296523,0.2670578296175457,20.507515044074687,0.06721208798388412,-0.0488125368269613,0.17813709295201968
