model,precision,recall,threshold,average_precision
Random forest (S2),0.2066420664206642,1.0,0.8046953780850817,0.34884220045478836
Random forest (S2),0.2074074074074074,1.0,0.8245543376389863,0.34884220045478836
Random forest (S2),0.20817843866171004,1.0,0.8299467483796048,0.34884220045478836
Random forest (S2),0.208955223880597,1.0,0.8351197888752455,0.34884220045478836
Random forest (S2),0.20973782771535582,1.0,0.8381048064784842,0.34884220045478836
Random forest (S2),0.21052631578947367,1.0,0.841933900402899,0.34884220045478836
Random forest (S2),0.21132075471698114,1.0,0.8479241315851777,0.34884220045478836
Random forest (S2),0.21212121212121213,1.0,0.8563697969790104,0.34884220045478836
Random forest (S2),0.21292775665399238,1.0,0.8571750980046549,0.34884220045478836
Random forest (S2),0.21374045801526717,1.0,0.858184617485078,0.34884220045478836
Random forest (S2),0.21455938697318008,1.0,0.858253159537943,0.34884220045478836
Random forest (S2),0.2153846153846154,1.0,0.8594303602544062,0.34884220045478836
Random forest (S2),0.21621621621621623,1.0,0.8650315777091044,0.34884220045478836
Random forest (S2),0.21705426356589147,1.0,0.8660824510793729,0.34884220045478836
Random forest (S2),0.2178988326848249,1.0,0.8674549751376588,0.34884220045478836
Random forest (S2),0.21875,1.0,0.8676854375594782,0.34884220045478836
Random forest (S2),0.2196078431372549,1.0,0.8742530020817106,0.34884220045478836
Random forest (S2),0.2204724409448819,1.0,0.8792918125992962,0.34884220045478836
Random forest (S2),0.22134387351778656,1.0,0.8832907240014087,0.34884220045478836
Random forest (S2),0.2222222222222222,1.0,0.888441349180715,0.34884220045478836
Random forest (S2),0.22310756972111553,1.0,0.9062756378740386,0.34884220045478836
Random forest (S2),0.224,1.0,0.912158364095295,0.34884220045478836
Random forest (S2),0.2248995983935743,1.0,0.9122124277395894,0.34884220045478836
Random forest (S2),0.22580645161290322,1.0,0.9131526481527604,0.34884220045478836
Random forest (S2),0.22672064777327935,1.0,0.9196395971349858,0.34884220045478836
Random forest (S2),0.22764227642276422,1.0,0.9226967833405556,0.34884220045478836
Random forest (S2),0.22857142857142856,1.0,0.9262172957589632,0.34884220045478836
Random forest (S2),0.22950819672131148,1.0,0.9304415750701908,0.34884220045478836
Random forest (S2),0.23045267489711935,1.0,0.9326548349078594,0.34884220045478836
Random forest (S2),0.23140495867768596,1.0,0.9357971341692698,0.34884220045478836
Random forest (S2),0.23236514522821577,1.0,0.939693087794739,0.34884220045478836
Random forest (S2),0.23333333333333334,1.0,0.9410214676214091,0.34884220045478836
Random forest (S2),0.23430962343096234,1.0,0.9417023256801652,0.34884220045478836
Random forest (S2),0.23529411764705882,1.0,0.942704576995274,0.34884220045478836
Random forest (S2),0.23628691983122363,1.0,0.9482772306704824,0.34884220045478836
Random forest (S2),0.23728813559322035,1.0,0.9494006943223536,0.34884220045478836
Random forest (S2),0.23829787234042554,1.0,0.9575831646820012,0.34884220045478836
Random forest (S2),0.23931623931623933,1.0,0.9673728576819328,0.34884220045478836
Random forest (S2),0.24034334763948498,1.0,0.9702306444262764,0.34884220045478836
Random forest (S2),0.2413793103448276,1.0,0.9702573407372634,0.34884220045478836
Random forest (S2),0.24242424242424243,1.0,0.9811861031887466,0.34884220045478836
Random forest (S2),0.24347826086956523,1.0,0.9882839967598516,0.34884220045478836
Random forest (S2),0.2445414847161572,1.0,0.9921203535376292,0.34884220045478836
Random forest (S2),0.24561403508771928,1.0,0.9923112340965085,0.34884220045478836
Random forest (S2),0.24669603524229075,1.0,0.9966416913683328,0.34884220045478836
Random forest (S2),0.24778761061946902,1.0,1.0018809032187623,0.34884220045478836
Random forest (S2),0.24888888888888888,1.0,1.0030165700057947,0.34884220045478836
Random forest (S2),0.25,1.0,1.0075744652119567,0.34884220045478836
Random forest (S2),0.25112107623318386,1.0,1.011592997893879,0.34884220045478836
Random forest (S2),0.25225225225225223,1.0,1.0285962435450453,0.34884220045478836
Random forest (S2),0.25339366515837103,1.0,1.0286182441946763,0.34884220045478836
Random forest (S2),0.2545454545454545,1.0,1.0293192389144823,0.34884220045478836
Random forest (S2),0.2557077625570776,1.0,1.0306538406687025,0.34884220045478836
Random forest (S2),0.25229357798165136,0.9821428571428571,1.032366365683691,0.34884220045478836
Random forest (S2),0.2534562211981567,0.9821428571428571,1.0328750839533545,0.34884220045478836
Random forest (S2),0.25462962962962965,0.9821428571428571,1.0332012209190382,0.34884220045478836
