model,false_negative_to_false_positive_cost_ratio,forecast_alert_cutoff,calibration_days,cost_units,normalized_cost,true_positive_days,false_positive_days,false_negative_days,true_negative_days,precision,recall,f1
Random forest (S2),1.0,0.6,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.61,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.62,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.63,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.64,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.65,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.66,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.67,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.68,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.69,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.7,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.71,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.72,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.73,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.74,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.75,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.76,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.77,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.78,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.79,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.8,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.81,220,139.0,0.6318181818181818,81,139,0,0,0.36818181818181817,1.0,0.5382059800664452
Random forest (S2),1.0,0.82,220,137.0,0.6227272727272727,81,137,0,2,0.37155963302752293,1.0,0.5418060200668897
Random forest (S2),1.0,0.83,220,136.0,0.6181818181818182,81,136,0,3,0.37327188940092165,1.0,0.5436241610738255
Random forest (S2),1.0,0.84,220,133.0,0.6045454545454545,81,133,0,6,0.37850467289719625,1.0,0.5491525423728814
Random forest (S2),1.0,0.85,220,133.0,0.6045454545454545,81,133,0,6,0.37850467289719625,1.0,0.5491525423728814
Random forest (S2),1.0,0.86,220,130.0,0.5909090909090909,81,130,0,9,0.38388625592417064,1.0,0.5547945205479452
Random forest (S2),1.0,0.87,220,130.0,0.5909090909090909,81,130,0,9,0.38388625592417064,1.0,0.5547945205479452
Random forest (S2),1.0,0.88,220,130.0,0.5909090909090909,81,130,0,9,0.38388625592417064,1.0,0.5547945205479452
Random forest (S2),1.0,0.89,220,129.0,0.5863636363636363,81,129,0,10,0.38571428571428573,1.0,0.5567010309278351
Random forest (S2),1.0,0.9,220,124.0,0.5636363636363636,81,124,0,15,0.3951219512195122,1.0,0.5664335664335665
Random forest (S2),1.0,0.91,220,124.0,0.5636363636363636,81,124,0,15,0.3951219512195122,1.0,0.5664335664335665
Random forest (S2),1.0,0.92,220,122.0,0.5545454545454546,81,122,0,17,0.39901477832512317,1.0,0.5704225352112676
Random forest (S2),1.0,0.93,220,121.0,0.55,81,121,0,18,0.400990099009901,1.0,0.5724381625441697
Random forest (S2),1.0,0.94,220,121.0,0.55,81,121,0,18,0.400990099009901,1.0,0.5724381625441697
Random forest (S2),1.0,0.95,220,120.0,0.5454545454545454,81,120,0,19,0.40298507462686567,1.0,0.5744680851063829
Random forest (S2),1.0,0.96,220,119.0,0.5409090909090909,81,119,0,20,0.405,1.0,0.5765124555160143
Random forest (S2),1.0,0.97,220,117.0,0.5318181818181819,81,117,0,22,0.4090909090909091,1.0,0.5806451612903226
Random forest (S2),1.0,0.98,220,116.0,0.5272727272727272,80,115,1,24,0.41025641025641024,0.9876543209876543,0.5797101449275363
Random forest (S2),1.0,0.99,220,115.0,0.5227272727272727,80,114,1,25,0.41237113402061853,0.9876543209876543,0.5818181818181819
Random forest (S2),1.0,1.0,220,115.0,0.5227272727272727,80,114,1,25,0.41237113402061853,0.9876543209876543,0.5818181818181819
