condition,model,n_days,MAE,RMSE,bias_prediction_minus_actual,underprediction_rate,overprediction_rate
Stress day (>=1.20),Random forest (S2),56,0.2024716301750797,0.25837697165412454,-0.2009788833748016,0.9285714285714286,0.07142857142857142
Stress day (>=1.20),XGBoost (S2),56,0.17855691025220163,0.2382279089992115,-0.11779063343407745,0.6964285714285714,0.30357142857142855
Stress day (>=1.20),LightGBM (S2),56,0.17174827540350115,0.2253764654413839,-0.08615647322052236,0.625,0.375
Stress day (>=1.20),14-day moving average,56,0.33955243661192774,0.37822383669899634,-0.3392411641881007,0.9821428571428571,0.017857142857142856
Stress day (>=1.20),LSTM 28-step (S2),56,0.20795586016259301,0.2693776086935326,-0.18191684505175157,0.8214285714285714,0.17857142857142858
Non-stress day,Random forest (S2),215,0.21518686128624212,0.26552958894972545,0.20422843200370075,0.08837209302325581,0.9116279069767442
Non-stress day,XGBoost (S2),215,0.2999914248163354,0.3495630462652852,0.29189961033709744,0.06046511627906977,0.9395348837209302
Non-stress day,LightGBM (S2),215,0.3119831465534854,0.36182208604435834,0.30254505764819095,0.046511627906976744,0.9534883720930233
Non-stress day,14-day moving average,215,0.1715405946875337,0.2217628037144447,0.09963399605411351,0.3767441860465116,0.6232558139534884
Non-stress day,LSTM 28-step (S2),215,0.23131289166144975,0.27953954483983323,0.21304579856295452,0.12558139534883722,0.8744186046511628
Slack day (<0.80),Random forest (S2),70,0.3738464036485223,0.3950860571519696,0.3738464036485223,0.0,1.0
Slack day (<0.80),XGBoost (S2),70,0.46991963235988204,0.49023218185992146,0.46991963235988204,0.0,1.0
Slack day (<0.80),LightGBM (S2),70,0.4535054843141102,0.4867271975079282,0.4535054843141102,0.0,1.0
Slack day (<0.80),14-day moving average,70,0.3023399691475709,0.33400038379349656,0.3023399691475709,0.0,1.0
Slack day (<0.80),LSTM 28-step (S2),70,0.3927626484053162,0.4079563712293887,0.3927626484053162,0.0,1.0
Backlog-risk day,Random forest (S2),234,0.215924432320245,0.26944371730083017,0.12830618777325298,0.23931623931623933,0.7606837606837606
Backlog-risk day,XGBoost (S2),234,0.2765725345331364,0.331090780559913,0.21072084209785852,0.18376068376068377,0.8162393162393162
Backlog-risk day,LightGBM (S2),234,0.28805280104111547,0.34358691187191787,0.22941430783630276,0.14957264957264957,0.8504273504273504
Backlog-risk day,14-day moving average,234,0.2087372081942685,0.26537358185447835,0.013972902076348265,0.48717948717948717,0.5128205128205128
Backlog-risk day,LSTM 28-step (S2),234,0.23057219709036955,0.281668308154987,0.13725282049514645,0.2564102564102564,0.7435897435897436
No backlog-risk day,Random forest (S2),37,0.19127754874078884,0.22713767476944244,0.07109858034771833,0.40540540540540543,0.5945945945945946
No backlog-risk day,XGBoost (S2),37,0.2643073034832833,0.3204128671133322,0.18522874862888425,0.24324324324324326,0.7567567567567568
No backlog-risk day,LightGBM (S2),37,0.2510790402155248,0.3016668799362239,0.1767426178464047,0.2702702702702703,0.7297297297297297
No backlog-risk day,14-day moving average,37,0.19058534028726717,0.2385427728515126,-0.022860949426073637,0.5945945945945946,0.40540540540540543
No backlog-risk day,LSTM 28-step (S2),37,0.20064610154514673,0.2492876868868263,0.0946038749262937,0.35135135135135137,0.6486486486486487
QA-flagged day,Random forest (S2),38,0.22215000694819834,0.2762760960902241,0.10776123288325784,0.18421052631578946,0.8157894736842105
QA-flagged day,XGBoost (S2),38,0.29921707000206854,0.3525813314873499,0.17875292873973836,0.18421052631578946,0.8157894736842105
QA-flagged day,LightGBM (S2),38,0.28940281237230026,0.3521490469861337,0.18326734777102732,0.21052631578947367,0.7894736842105263
QA-flagged day,14-day moving average,38,0.1715499934560016,0.24076522990095128,-0.004265593862631928,0.47368421052631576,0.5263157894736842
QA-flagged day,LSTM 28-step (S2),38,0.2378900091713439,0.296903787862551,0.11667395555936903,0.2894736842105263,0.7105263157894737
QA-clean day,Random forest (S2),233,0.21099521975242486,0.2620223805542073,0.1225723972628454,0.27467811158798283,0.7253218884120172
QA-clean day,XGBoost (S2),233,0.2709317366933768,0.32576094437935105,0.21188639252385216,0.19313304721030042,0.8068669527896996
QA-clean day,LightGBM (S2),233,0.281961257774455,0.3358349241680205,0.22857624754812356,0.15879828326180256,0.8412017167381974
QA-clean day,14-day moving average,233,0.21191959037235897,0.2651554928851117,0.011098268342835971,0.5064377682403434,0.49356223175965663
QA-clean day,LSTM 28-step (S2),233,0.22462652157856577,0.2741701228629149,0.13383645088790175,0.26609442060085836,0.7339055793991416
H1 2025,Random forest (S2),137,0.2094699532264909,0.2585826960358057,0.07618484373097001,0.34306569343065696,0.656934306569343
H1 2025,XGBoost (S2),137,0.2553507960325317,0.30680640262243436,0.15953211547423626,0.25547445255474455,0.7445255474452555
H1 2025,LightGBM (S2),137,0.2679352766704021,0.3209532728584667,0.18675512849118803,0.22627737226277372,0.7737226277372263
H1 2025,14-day moving average,137,0.2281743893013103,0.2835489900237199,0.003669929766195974,0.5036496350364964,0.49635036496350365
H1 2025,LSTM 28-step (S2),137,0.2424126624576184,0.29249271029919016,0.12349938178323654,0.291970802919708,0.708029197080292
H2 2025,Random forest (S2),134,0.21571793189789004,0.2695596246618602,0.16579829716913347,0.1791044776119403,0.8208955223880597
H2 2025,XGBoost (S2),134,0.2948827183073027,0.3514796914908189,0.25601672335968095,0.12686567164179105,0.8731343283582089
H2 2025,LightGBM (S2),134,0.2984115449832115,0.3549097018310446,0.258484867841187,0.1044776119402985,0.8955223880597015
H2 2025,14-day moving average,134,0.18385278338662833,0.2376754406265503,0.014335996859193434,0.5,0.5
H2 2025,LSTM 28-step (S2),134,0.210203471041964,0.2612196613569852,0.13953797062562479,0.2462686567164179,0.753731343283582
