synthetic_mask_rate,repeat,masking_scope,maskable_feature_count,imputation,masked_training_cells,masked_holdout_cells,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
0.0,1,Lagged autoregressive features only; calendar fields remain observed,16,Training-sample median fitted without holdout information,0,0,0.21255935965441522,0.26406743863303894,26.00594669758664,0.03487252097169946,0.12049555502511726,0.1736141335549859
0.05,1,Lagged autoregressive features only; calendar fields remain observed,16,Training-sample median fitted without holdout information,208,234,0.20999441625967658,0.26002121344680373,25.5699607876527,0.0642226341528832,0.1114560726378642,0.17166533079668356
0.05,2,Lagged autoregressive features only; calendar fields remain observed,16,Training-sample median fitted without holdout information,199,234,0.21287532096771627,0.2647958657179566,26.07624720927366,0.02954059028707523,0.11742603362010141,0.17690846673961824
0.05,3,Lagged autoregressive features only; calendar fields remain observed,16,Training-sample median fitted without holdout information,221,222,0.21344889683131818,0.2639367717358064,26.014251502617736,0.03582742107292569,0.12112100113862732,0.1850383915688727
0.1,1,Lagged autoregressive features only; calendar fields remain observed,16,Training-sample median fitted without holdout information,425,427,0.21303449900273133,0.2642429735501004,26.036357104366648,0.03358898612588046,0.12152042340545019,0.1687835754560788
0.1,2,Lagged autoregressive features only; calendar fields remain observed,16,Training-sample median fitted without holdout information,434,422,0.20830887062151673,0.2594457150102737,25.312779073328688,0.06836031536026399,0.10898499141414825,0.166889456873061
0.1,3,Lagged autoregressive features only; calendar fields remain observed,16,Training-sample median fitted without holdout information,424,394,0.21127187864947697,0.26323863855385743,25.86741972352316,0.04092129744083384,0.11647548161360176,0.16962149275920102
0.2,1,Lagged autoregressive features only; calendar fields remain observed,16,Training-sample median fitted without holdout information,867,873,0.2076731391851377,0.2596364726664744,25.241602460294292,0.06698983417050897,0.10781518010438461,0.1724646415027704
0.2,2,Lagged autoregressive features only; calendar fields remain observed,16,Training-sample median fitted without holdout information,863,832,0.21291266379136828,0.26449510912002266,25.952030863112558,0.03174384459210278,0.11468487074796214,0.17690182043565383
0.2,3,Lagged autoregressive features only; calendar fields remain observed,16,Training-sample median fitted without holdout information,798,875,0.21298876097827713,0.26396894258678105,25.918291333277743,0.03559236369512808,0.1153064943388455,0.18218985252639508
