target,target_column,model,training_high_pressure_threshold_q75,cv_MAE_mean,cv_MAE_sd,holdout_n,holdout_MAE,holdout_RMSE,holdout_MAPE,holdout_R2,holdout_MeanBias,holdout_MedianAE,high_pressure_true_positive_days,high_pressure_false_positive_days,high_pressure_false_negative_days,high_pressure_true_negative_days,high_pressure_precision,high_pressure_recall,high_pressure_f1
Realized served-truck utilization,y_utilization_nextday,Random forest (S2),1.2993243243243244,0.19954470713643918,0.014579560363223963,271,0.21255935965441522,0.26406743863303894,26.00594669758664,0.03487252097169946,0.12049555502511726,0.1736141335549859,0,3,37,231,0.0,0.0,
Realized served-truck utilization,y_utilization_nextday,XGBoost (S2),1.2993243243243244,0.211179815338662,0.02652585684803163,271,0.27489794579201254,0.32965329860744697,33.91906630421145,-0.5040761565835981,0.20724037177183624,0.2479095739476822,12,49,25,185,0.19672131147540983,0.32432432432432434,0.24489795918367346
Realized served-truck utilization,y_utilization_nextday,LightGBM (S2),1.2993243243243244,0.2069253355350186,0.017099929660511676,271,0.28300472299481716,0.3381699587154509,34.444779298544645,-0.5827962915311711,0.2222229700886045,0.2599899223236817,14,76,23,158,0.15555555555555556,0.3783783783783784,0.22047244094488191
Realized served-truck utilization,y_utilization_nextday,14-day moving average,1.2993243243243244,0.22134027403204687,0.022571128558020716,271,0.20625890888593248,0.26187242672507866,23.53849463815461,0.05085072441653948,0.008943926040962244,0.1637030001849885,0,0,37,234,,0.0,
Realized served-truck utilization,y_utilization_nextday,LSTM 28-step (S2),1.2993243243243244,0.2153965079020284,0.014035573490981066,271,0.22648634640707346,0.2774701696839026,27.608476568711854,-0.06558371478451064,0.1314299017274433,0.18702072567409944,7,21,30,213,0.25,0.1891891891891892,0.2153846153846154
Scheduled demand pressure,y_scheduled_demand_pressure,Random forest (S2),1.3096816976127321,0.19842803399449604,0.013196602284671172,271,0.21563053711910346,0.2645083297692232,25.828740872946675,0.030065601436251477,0.12771404619676593,0.1747618438787245,1,3,35,232,0.25,0.027777777777777776,0.049999999999999996
Scheduled demand pressure,y_scheduled_demand_pressure,XGBoost (S2),1.3096816976127321,0.21285975985103756,0.028604809065799,271,0.3055053475183271,0.3612718036668411,36.97318668888981,-0.8093883514778413,0.2515384833497044,0.27747495550858337,20,82,16,153,0.19607843137254902,0.5555555555555556,0.2898550724637681
Scheduled demand pressure,y_scheduled_demand_pressure,LightGBM (S2),1.3096816976127321,0.2124843399240013,0.012174015662465726,271,0.30215081292434165,0.3580956098580362,36.02165790864117,-0.7777130022916445,0.2521762726635934,0.28594936061047815,22,87,14,148,0.2018348623853211,0.6111111111111112,0.30344827586206896
Scheduled demand pressure,y_scheduled_demand_pressure,14-day moving average,1.3096816976127321,0.22267648147465705,0.02555274740016663,271,0.20939292695457482,0.2636941268452325,23.29734439138954,0.036027666756721755,0.007954594136621607,0.17718108413855171,0,0,36,235,,0.0,
Scheduled demand pressure,y_scheduled_demand_pressure,LSTM 28-step (S2),1.3096816976127321,0.2240075492434534,0.021415962300034265,271,0.29028395074932,0.34265515478335207,35.23638144253617,-0.6277143586948106,0.22562588178022255,0.26877584601893567,16,55,20,180,0.22535211267605634,0.4444444444444444,0.29906542056074764
Open-order pressure,y_open_order_pressure,Random forest (S2),1.2276785714285716,0.19429673946783205,0.017344978361108827,271,0.21492453671753137,0.26464152152389553,28.450511436501575,-0.04920237109798675,0.14990178606223056,0.180126086448819,1,4,22,244,0.2,0.043478260869565216,0.07142857142857142
Open-order pressure,y_open_order_pressure,XGBoost (S2),1.2276785714285716,0.20879812093190014,0.03462719143906849,271,0.2942385552108018,0.3513871574853105,38.80631157489418,-0.8497586353612843,0.24506476061130888,0.272328866155524,9,96,14,152,0.08571428571428572,0.391304347826087,0.14062500000000003
Open-order pressure,y_open_order_pressure,LightGBM (S2),1.2276785714285716,0.2037080363238848,0.01626599443667514,271,0.28546644689666617,0.34052659823659676,37.16626769167271,-0.7371822117260995,0.24094281456092823,0.263698978248581,14,88,9,160,0.13725490196078433,0.6086956521739131,0.22400000000000006
Open-order pressure,y_open_order_pressure,14-day moving average,1.2276785714285716,0.21165189426299974,0.01861300374025505,271,0.19797309835436414,0.25297548198399045,24.434474953448156,0.04126152169363051,0.008690018544883925,0.16886706044007482,0,0,23,248,,0.0,
Open-order pressure,y_open_order_pressure,LSTM 28-step (S2),1.2276785714285716,0.206367965747752,0.017392230774064533,271,0.2965578466414068,0.3527058524028022,40.065036862615,-0.8636683320139267,0.25075262291605266,0.27707904974619557,11,78,12,170,0.12359550561797752,0.4782608695652174,0.19642857142857142
Served plus deferred pressure,y_served_plus_deferred_pressure,Random forest (S2),1.3333333333333333,0.2191406855567392,0.016137437381241883,271,0.23163353163367123,0.2860563889407687,27.983001548337306,0.0016160201840983435,0.1360300374810177,0.18357970408221735,0,2,34,235,0.0,0.0,
Served plus deferred pressure,y_served_plus_deferred_pressure,XGBoost (S2),1.3333333333333333,0.2285371667563047,0.03183475437287793,271,0.2999067154310956,0.35560079228110025,36.47049183665858,-0.5428359130458211,0.22831712491962122,0.267707884311676,12,55,22,182,0.1791044776119403,0.35294117647058826,0.2376237623762376
Served plus deferred pressure,y_served_plus_deferred_pressure,LightGBM (S2),1.3333333333333333,0.22766828949671264,0.017114679561727394,271,0.3167444395900674,0.37554883630383723,37.99854591754389,-0.7207870968213712,0.2571681407674554,0.30138678655737494,15,86,19,151,0.1485148514851485,0.4411764705882353,0.2222222222222222
Served plus deferred pressure,y_served_plus_deferred_pressure,14-day moving average,1.3333333333333333,0.24015839696141147,0.025507729474642506,271,0.21805979378977164,0.2793593873437679,24.429351626797956,0.047816089190755195,0.009033274345031192,0.17120905679694898,0,0,34,237,,0.0,
Served plus deferred pressure,y_served_plus_deferred_pressure,LSTM 28-step (S2),1.3333333333333333,0.22957433969279525,0.01952428651671132,271,0.24375796661219465,0.2980894649941903,29.372746001901206,-0.08414545838703513,0.13874819236172337,0.20250511169433594,5,14,29,223,0.2631578947368421,0.14705882352941177,0.18867924528301885
Expanded demand-pressure index,y_expanded_demand_pressure_index,Random forest (S2),1.3916083916083917,0.20889366530091796,0.018765126757842386,271,0.2248826458911012,0.28038091212446153,24.922025858894177,-0.032947822932242854,0.13823988123509512,0.18968028080081623,0,1,36,234,0.0,0.0,
Expanded demand-pressure index,y_expanded_demand_pressure_index,XGBoost (S2),1.3916083916083917,0.21780336390979493,0.027644478375097953,271,0.2967145112929996,0.35761895681846984,32.90481099366511,-0.6804382570385457,0.230337798114555,0.27649659088679723,10,67,26,168,0.12987012987012986,0.2777777777777778,0.17699115044247787
