model,outcome,forecast_high_action_threshold,holdout_days,alert_days,alert_burden,actual_positive_days,stress_unit_capture_rate,true_positive_days,false_positive_days,false_negative_days,true_negative_days,precision,recall,f1
Random forest (S2),Stress day,1.2,271,53,0.19557195571955718,56,0.337721365754718,18,35,38,180,0.33962264150943394,0.32142857142857145,0.3302752293577982
Random forest (S2),Backlog-risk day,1.2,271,53,0.19557195571955718,234,,44,9,190,28,0.8301886792452831,0.18803418803418803,0.30662020905923343
Random forest (S2),Critical-risk day,1.2,271,53,0.19557195571955718,244,,48,5,196,22,0.9056603773584906,0.19672131147540983,0.3232323232323232
XGBoost (S2),Stress day,1.2,271,138,0.5092250922509225,56,0.6460190656209129,40,98,16,117,0.2898550724637681,0.7142857142857143,0.41237113402061853
XGBoost (S2),Backlog-risk day,1.2,271,138,0.5092250922509225,234,,117,21,117,16,0.8478260869565217,0.5,0.6290322580645161
XGBoost (S2),Critical-risk day,1.2,271,138,0.5092250922509225,244,,124,14,120,13,0.8985507246376812,0.5081967213114754,0.6492146596858639
LightGBM (S2),Stress day,1.2,271,151,0.5571955719557196,56,0.7585195412363946,44,107,12,108,0.2913907284768212,0.7857142857142857,0.42512077294685985
LightGBM (S2),Backlog-risk day,1.2,271,151,0.5571955719557196,234,,130,21,104,16,0.8609271523178808,0.5555555555555556,0.6753246753246753
LightGBM (S2),Critical-risk day,1.2,271,151,0.5571955719557196,244,,137,14,107,13,0.9072847682119205,0.5614754098360656,0.6936708860759493
14-day moving average,Stress day,1.2,271,5,0.01845018450184502,56,0.051460134311529925,2,3,54,212,0.4,0.03571428571428571,0.06557377049180328
14-day moving average,Backlog-risk day,1.2,271,5,0.01845018450184502,234,,5,0,229,37,1.0,0.021367521367521368,0.041841004184100423
14-day moving average,Critical-risk day,1.2,271,5,0.01845018450184502,244,,5,0,239,27,1.0,0.020491803278688523,0.040160642570281124
LSTM 28-step (S2),Stress day,1.2,271,72,0.2656826568265683,56,0.3205559048301232,25,47,31,168,0.3472222222222222,0.44642857142857145,0.390625
LSTM 28-step (S2),Backlog-risk day,1.2,271,72,0.2656826568265683,234,,60,12,174,25,0.8333333333333334,0.2564102564102564,0.392156862745098
LSTM 28-step (S2),Critical-risk day,1.2,271,72,0.2656826568265683,244,,65,7,179,20,0.9027777777777778,0.26639344262295084,0.4113924050632911
